片名,评分网站,评分,评分人数
引爆摩天楼,豆瓣,8.5,153
第十四号猎物,豆瓣,8.2,114
世纪末的魔术师,豆瓣,8.7,145
瞳孔中的暗杀者,豆瓣,8.4,129
往天国的倒数计时,豆瓣,8.7,149
贝克街的亡灵,豆瓣,8.8,290
迷宫的十字路,豆瓣,8.5,163
银翼的奇术师,豆瓣,8.1,117
水平线上的阴谋,豆瓣,7.8,105
侦探们的镇魂歌,豆瓣,8.0,117
绀碧之棺,豆瓣,6.9,90
战栗的乐谱,豆瓣,7.3,107
漆黑的追迹者,豆瓣,7.6,112
天空的劫难船,豆瓣,7.6,108
沉默的15分钟,豆瓣,6.9,109
第11位前锋,豆瓣,6.6,76
绝海的侦探,豆瓣,6.5,72
异次元的狙击手,豆瓣,6.9,71
业火的向日葵,豆瓣,6.1,98
纯黑的恶梦,豆瓣,6.1,93
唐红的恋歌,豆瓣,7.0,81
零的执行人,豆瓣,5.7,129
引爆摩天楼,IMDb,7.4,4
第十四号猎物,IMDb,7.3,3.3
世纪末的魔术师,IMDb,7.6,3.3
瞳孔中的暗杀者,IMDb,7.5,3.3
往天国的倒数计时,IMDb,7.6,3.2
贝克街的亡灵,IMDb,7.8,4.3
迷宫的十字路,IMDb,7.1,2.7
银翼的奇术师,IMDb,7.0,2.5
水平线上的阴谋,IMDb,7.0,2.2
侦探们的镇魂歌,IMDb,7.1,2.3
绀碧之棺,IMDb,6.3,1.9
战栗的乐谱,IMDb,6.7,2.1
漆黑的追迹者,IMDb,7.2,2.4
天空的劫难船,IMDb,6.9,2.2
沉默的15分钟,IMDb,6.6,2.1
第11位前锋,IMDb,6.4,2
绝海的侦探,IMDb,6.5,1.7
异次元的狙击手,IMDb,6.7,1.8
业火的向日葵,IMDb,6.2,2
纯黑的恶梦,IMDb,7.0,2.5
唐红的恋歌,IMDb,6.5,1.8
零的执行人,IMDb,6.2,2.2
引爆摩天楼,猫眼,,
第十四号猎物,猫眼,,
世纪末的魔术师,猫眼,8.4,0.9
瞳孔中的暗杀者,猫眼,8.6,1
往天国的倒数计时,猫眼,8.8,1.3
贝克街的亡灵,猫眼,9.3,37
迷宫的十字路,猫眼,9.1,36
银翼的奇术师,猫眼,8.3,1.1
水平线上的阴谋,猫眼,7.4,0.7
侦探们的镇魂歌,猫眼,8.3,0.8
绀碧之棺,猫眼,6.4,0.7
战栗的乐谱,猫眼,6.7,0.8
漆黑的追迹者,猫眼,8.3,1
天空的劫难船,猫眼,8.2,1
沉默的15分钟,猫眼,8.0,1.2
第11位前锋,猫眼,7.7,1.4
绝海的侦探,猫眼,7.0,0.7
异次元的狙击手,猫眼,7.0,0.8
业火的向日葵,猫眼,8.0,129
纯黑的恶梦,猫眼,8.6,45
唐红的恋歌,猫眼,6.8,2
零的执行人,猫眼,8.4,149